Z [mm], Temperature [K]
0.00000000000000E+00, 3.00000000000000E+02
5.00000000000000E-03, 3.03819407047031E+02
4.50000000000000E-02, 3.34308836437674E+02
5.00000000000000E-02, 3.38051888621021E+02
5.50000000000000E-02, 3.39501169669459E+02
9.50000000000000E-02, 3.50549432664430E+02
1.00000000000000E-01, 3.51921856804110E+02
1.05000000000000E-01, 3.51930287751765E+02
1.90000000000000E-01, 3.52059824853996E+02
1.95000000000000E-01, 3.52063436457408E+02
2.00000000000000E-01, 3.52066599132194E+02
2.05000000000000E-01, 3.52574928941664E+02
2.45000000000000E-01, 3.56627479910482E+02
2.50000000000000E-01, 3.57134564170690E+02
2.55000000000000E-01, 3.57137876078752E+02
3.40000000000000E-01, 3.57218098273537E+02
3.45000000000000E-01, 3.57220079336573E+02
3.50000000000000E-01, 3.57221754419555E+02
3.55000000000000E-01, 3.57490918444860E+02
3.95000000000000E-01, 3.59634016866379E+02
4.00000000000000E-01, 3.59901861886289E+02
4.05000000000000E-01, 3.59903544583040E+02
4.90000000000000E-01, 3.59934542524594E+02
4.95000000000000E-01, 3.59934698998663E+02
5.00000000000000E-01, 3.59934670051337E+02
5.05000000000000E-01, 3.59929827929991E+02
5.45000000000000E-01, 3.59884882112543E+02
5.50000000000000E-01, 3.59879179140820E+02
5.55000000000000E-01, 3.59879145807056E+02
5.95000000000000E-01, 3.59878929925913E+02
6.00000000000000E-01, 3.59878919923720E+02
