Z [mm], Temperature [K]
0.00000000000000E+00, 3.00000000000000E+02
5.00000000000000E-03, 3.03824786154920E+02
4.50000000000000E-02, 3.34357167561010E+02
5.00000000000000E-02, 3.38105505932754E+02
5.50000000000000E-02, 3.39556838174155E+02
9.50000000000000E-02, 3.50620848508511E+02
1.00000000000000E-01, 3.51995244941042E+02
1.05000000000000E-01, 3.52003693064128E+02
1.90000000000000E-01, 3.52133969334273E+02
1.95000000000000E-01, 3.52137621346772E+02
2.00000000000000E-01, 3.52140825821653E+02
2.05000000000000E-01, 3.52655881096283E+02
2.45000000000000E-01, 3.56762222189316E+02
2.50000000000000E-01, 3.57276038084988E+02
2.55000000000000E-01, 3.57279392916871E+02
3.40000000000000E-01, 3.57360646463403E+02
3.45000000000000E-01, 3.57362656374955E+02
3.50000000000000E-01, 3.57364355886215E+02
3.55000000000000E-01, 3.57637445251306E+02
3.95000000000000E-01, 3.59811831755111E+02
4.00000000000000E-01, 3.60083588048689E+02
4.05000000000000E-01, 3.60085294630786E+02
4.90000000000000E-01, 3.60116788339828E+02
4.95000000000000E-01, 3.60116955340058E+02
5.00000000000000E-01, 3.60116933915986E+02
5.05000000000000E-01, 3.60113299089882E+02
5.45000000000000E-01, 3.60077943270013E+02
5.50000000000000E-01, 3.60073435418085E+02
5.55000000000000E-01, 3.60073408258326E+02
5.95000000000000E-01, 3.60073221874358E+02
6.00000000000000E-01, 3.60073211841832E+02
