 Count  Overhead File                    Line Function
     6         0 …at3D/q3d/heat3d_nu.jl   156 main(SZ::Tuple{Int64, Int64, Int6…
     6         5 …at3D/q3d/heat3d_nu.jl    24 calRHS!(b::Array{Float64, 3}, ID:…
     6         5 …eat3D/model/modelA.jl   544 setLambda!(λ::Array{Float64, 3}, …
     6         5 …eat3D/model/modelA.jl   540 setLambda!(λ::Array{Float64, 3}, …
     6         6 @Base/float.jl             ? is_included_sph(a1::Vector{Float6…
     8         8 @Base/float.jl             ? CalcAX!(ap::Array{Float64, 3}, p:…
     8         0 …eat3D/model/modelA.jl   243 is_included_rect(a1::Vector{Float…
     8         1 …eat3D/model/modelA.jl   387 FillPlate!(ID::Array{UInt8, 3}, o…
     8         8 …eat3D/model/modelA.jl     ? is_included_cyl(a1::Vector{Float6…
     9         7 …eat3D/model/modelA.jl   286 is_included_cyl(a1::Vector{Float6…
    11         0 @Base/promotion.jl       425 /
    11        11 @Base/float.jl           412 /
    12         0 @Base/broadcast.jl       223 similar
    12         0 @Base/broadcast.jl       224 similar
    12         0 @Base/abstractarray.jl   876 similar
    12         0 @Base/abstractarray.jl   877 similar
    12         0 @Base/boot.jl            494 Array
    12         0 @Base/boot.jl            486 Array
    12        12 @Base/boot.jl            477 Array
    12         7 …eat3D/model/modelA.jl   137 searchMat(m::Int64)
    14        14 @Base/float.jl           450 rem_internal(x::Float64, y::Float…
    14         0 @Base/broadcast.jl       928 copy
    15         2 @Base/dict.jl            497 getindex(h::Dict{String, Real}, k…
    15         2 …eat3D/model/modelA.jl   432 FillResin!(ID::Array{UInt8, 3}, S…
    15         0 @Base/intfuncs.jl        332 literal_pow
    16         0 …eat3d_NonUniformII.jl   814 CalcAX!(ap::Array{Float64, 3}, p:…
    16         0 …eat3D/model/modelA.jl   569 fillID!(mode::Int64, ID::Array{UI…
    16         0 @Base/broadcast.jl       903 materialize
    17         0 …eat3d_NonUniformII.jl   556 PBiCGSTAB!(X::Array{Float64, 3}, …
    17         0 …eat3D/model/modelA.jl   276 is_included_cyl(a1::Vector{Float6…
    18        18 @Base/array.jl             ? setindex!
    18         0 …eat3d_NonUniformII.jl   807 CalcAX!(ap::Array{Float64, 3}, p:…
    19         0 …eat3d_NonUniformII.jl   822 CalcAX!(ap::Array{Float64, 3}, p:…
    20         0 …eat3d_NonUniformII.jl   592 PBiCGSTAB!(X::Array{Float64, 3}, …
    20         0 …eat3d_NonUniformII.jl   877 BICG2!(z::Array{Float64, 3}, x::A…
    20         1 …eat3D/model/modelA.jl   385 FillPlate!(ID::Array{UInt8, 3}, o…
    21         0 …eat3d_NonUniformII.jl   576 PBiCGSTAB!(X::Array{Float64, 3}, …
    21         0 …eat3d_NonUniformII.jl   585 PBiCGSTAB!(X::Array{Float64, 3}, …
    21         0 …eat3D/model/modelA.jl   348 is_included_sph(a1::Vector{Float6…
    23         0 …eat3d_NonUniformII.jl   593 PBiCGSTAB!(X::Array{Float64, 3}, …
    23         0 …eat3D/model/modelA.jl   386 FillPlate!(ID::Array{UInt8, 3}, o…
    25         0 …eat3d_NonUniformII.jl   574 PBiCGSTAB!(X::Array{Float64, 3}, …
    25         0 …eat3d_NonUniformII.jl   567 PBiCGSTAB!(X::Array{Float64, 3}, …
    25         0 …eat3d_NonUniformII.jl   733 BiCG1!(p::Array{Float64, 3}, r::A…
    26        26 @Base/float.jl           537 <=
    32         0 …eat3d_NonUniformII.jl   819 CalcAX!(ap::Array{Float64, 3}, p:…
    33         0 …eat3D/model/modelA.jl   346 is_included_sph(a1::Vector{Float6…
    34         1 …at3D/q3d/heat3d_nu.jl   113 preprocess!(SZ::Tuple{Int64, Int6…
    35         0 …eat3d_NonUniformII.jl   287 sor!(p::Array{Float64, 3}, SZ::Tu…
    39         0 …eat3d_NonUniformII.jl   851 Triad!(z::Array{Float64, 3}, x::A…
    40         0 …eat3d_NonUniformII.jl   827 CalcAX!(ap::Array{Float64, 3}, p:…
    47         0 …eat3d_NonUniformII.jl   293 sor!(p::Array{Float64, 3}, SZ::Tu…
    48         0 …eat3d_NonUniformII.jl   286 sor!(p::Array{Float64, 3}, SZ::Tu…
    50         0 …eat3d_NonUniformII.jl   824 CalcAX!(ap::Array{Float64, 3}, p:…
    50         0 …eat3d_NonUniformII.jl   815 CalcAX!(ap::Array{Float64, 3}, p:…
    51         0 …eat3d_NonUniformII.jl   685 Fdot1(x::Array{Float64, 3}, SZ::T…
    53         0 …eat3d_NonUniformII.jl   582 PBiCGSTAB!(X::Array{Float64, 3}, …
    53         0 …eat3d_NonUniformII.jl   288 sor!(p::Array{Float64, 3}, SZ::Tu…
    54         0 …eat3d_NonUniformII.jl   294 sor!(p::Array{Float64, 3}, SZ::Tu…
    54         2 …eat3D/model/modelA.jl   565 fillID!(mode::Int64, ID::Array{UI…
    58        58 @Base/essentials.jl        ? CalcAX!(ap::Array{Float64, 3}, p:…
    61        61 @Base/essentials.jl        ? getindex
    63         0 …eat3d_NonUniformII.jl   705 Fdot2(x::Array{Float64, 3}, y::Ar…
    65        64 …eat3d_NonUniformII.jl   828 CalcAX!(ap::Array{Float64, 3}, p:…
    70        70 @Base/float.jl           410 -
    78         0 @Base/float.jl           449 rem_internal(x::Float64, y::Float…
    78         0 @Base/float.jl            79 reinterpret
    78        78 @Base/essentials.jl      581 reinterpret
    91         0 …eat3d_NonUniformII.jl   816 CalcAX!(ap::Array{Float64, 3}, p:…
    93         0 …eat3d_NonUniformII.jl   285 sor!(p::Array{Float64, 3}, SZ::Tu…
   100         0 …eat3d_NonUniformII.jl   299 sor!(p::Array{Float64, 3}, SZ::Tu…
   100         0 …eat3d_NonUniformII.jl   818 CalcAX!(ap::Array{Float64, 3}, p:…
   103         0 …eat3d_NonUniformII.jl   817 CalcAX!(ap::Array{Float64, 3}, p:…
   109       109 @Base/floatfuncs.jl        5 copysign
   111         0 …eat3d_NonUniformII.jl   300 sor!(p::Array{Float64, 3}, SZ::Tu…
   116       113 …eat3D/model/modelA.jl   282 is_included_cyl(a1::Vector{Float6…
   118         0 @Base/operators.jl       546 afoldl
   124         0 …eat3d_NonUniformII.jl   309 sor!(p::Array{Float64, 3}, SZ::Tu…
   142         0 …eat3d_NonUniformII.jl   311 sor!(p::Array{Float64, 3}, SZ::Tu…
   150         0 @Base/operators.jl       587 +
   151         0 …eat3D/model/modelA.jl   563 fillID!(mode::Int64, ID::Array{UI…
   151         0 …eat3D/model/modelA.jl   462 FillTSV!(ID::Array{UInt8, 3}, ox:…
   151         0 …eat3D/model/modelA.jl   262 is_included_cyl
   153        14 …eat3D/model/modelA.jl   343 is_included_sph(a1::Vector{Float6…
   159       159 @Base/float.jl           411 *
   179       179 …eat3d_NonUniformII.jl     ? sor!(p::Array{Float64, 3}, SZ::Tu…
   200       200 @Base/array.jl          1024 setindex!
   203       203 @Base/float.jl             ? sor!(p::Array{Float64, 3}, SZ::Tu…
   213       213 @Base/float.jl           409 +
   217         0 …eat3d_NonUniformII.jl   295 sor!(p::Array{Float64, 3}, SZ::Tu…
   249       249 @Base/essentials.jl       13 getindex
   305         0 …eat3d_NonUniformII.jl   304 sor!(p::Array{Float64, 3}, SZ::Tu…
   338         1 …eat3D/model/modelA.jl   347 is_included_sph(a1::Vector{Float6…
   346         0 …eat3d_NonUniformII.jl   297 sor!(p::Array{Float64, 3}, SZ::Tu…
   358       358 @Base/array.jl             ? CalcAX!(ap::Array{Float64, 3}, p:…
   370       257 …eat3d_NonUniformII.jl   312 sor!(p::Array{Float64, 3}, SZ::Tu…
   373         0 …eat3d_NonUniformII.jl   296 sor!(p::Array{Float64, 3}, SZ::Tu…
   441       441 @Base/promotion.jl       521 ==
   447         0 …eat3d_NonUniformII.jl   573 PBiCGSTAB!(X::Array{Float64, 3}, …
   448         0 …eat3d_NonUniformII.jl   581 PBiCGSTAB!(X::Array{Float64, 3}, …
   452         0 …eat3d_NonUniformII.jl   298 sor!(p::Array{Float64, 3}, SZ::Tu…
   454       454 @Base/float.jl           513 rem
   455       455 @Base/float.jl             ? rem_internal(x::Float64, y::Float…
   455        14 @Base/range.jl           901 iterate
   554         0 …eat3D/model/modelA.jl   567 fillID!(mode::Int64, ID::Array{UI…
   554         0 …eat3D/model/modelA.jl   494 FillSolder!(ID::Array{UInt8, 3}, …
   554         0 …eat3D/model/modelA.jl   308 is_included_sph
   777         0 …at3D/q3d/heat3d_nu.jl   112 preprocess!(SZ::Tuple{Int64, Int6…
