Z [mm], Temperature [K]
0.00000000000000E+00, 3.00000000000000E+02
5.00000000000000E-03, 3.03824785941735E+02
4.50000000000000E-02, 3.34357165645789E+02
5.00000000000000E-02, 3.38105503808322E+02
5.50000000000000E-02, 3.39556835968628E+02
9.50000000000000E-02, 3.50620845682557E+02
1.00000000000000E-01, 3.51995242037644E+02
1.05000000000000E-01, 3.52003690160140E+02
1.90000000000000E-01, 3.52133966409769E+02
1.95000000000000E-01, 3.52137618421219E+02
2.00000000000000E-01, 3.52140822895032E+02
2.05000000000000E-01, 3.52655877997972E+02
2.45000000000000E-01, 3.56762217718071E+02
2.50000000000000E-01, 3.57276033441918E+02
2.55000000000000E-01, 3.57279388272691E+02
3.40000000000000E-01, 3.57360641792796E+02
3.45000000000000E-01, 3.57362651703621E+02
3.50000000000000E-01, 3.57364351214255E+02
3.55000000000000E-01, 3.57637440478665E+02
3.95000000000000E-01, 3.59811826179999E+02
4.00000000000000E-01, 3.60083582373179E+02
4.05000000000000E-01, 3.60085288954653E+02
4.90000000000000E-01, 3.60116782647276E+02
4.95000000000000E-01, 3.60116949647005E+02
5.00000000000000E-01, 3.60116928222524E+02
5.05000000000000E-01, 3.60113293330587E+02
5.45000000000000E-01, 3.60077936985850E+02
5.50000000000000E-01, 3.60073429068506E+02
5.55000000000000E-01, 3.60073401908541E+02
5.95000000000000E-01, 3.60073215522892E+02
6.00000000000000E-01, 3.60073205490367E+02
