Z [mm], Temperature [K]
0.00000000000000E+00, 3.00000000000000E+02
5.00000000000000E-03, 3.03824785935975E+02
4.50000000000000E-02, 3.34357165594032E+02
5.00000000000000E-02, 3.38105503750900E+02
5.50000000000000E-02, 3.39556835909007E+02
9.50000000000000E-02, 3.50620845606031E+02
1.00000000000000E-01, 3.51995241959011E+02
1.05000000000000E-01, 3.52003690081491E+02
1.90000000000000E-01, 3.52133966330751E+02
1.95000000000000E-01, 3.52137618342183E+02
2.00000000000000E-01, 3.52140822815978E+02
2.05000000000000E-01, 3.52655877915917E+02
2.45000000000000E-01, 3.56762217612006E+02
2.50000000000000E-01, 3.57276033332825E+02
2.55000000000000E-01, 3.57279388163571E+02
3.40000000000000E-01, 3.57360641682399E+02
3.45000000000000E-01, 3.57362651593158E+02
3.50000000000000E-01, 3.57364351103722E+02
3.55000000000000E-01, 3.57637440357026E+02
3.95000000000000E-01, 3.59811825969562E+02
4.00000000000000E-01, 3.60083582151652E+02
4.05000000000000E-01, 3.60085288733061E+02
4.90000000000000E-01, 3.60116782424853E+02
4.95000000000000E-01, 3.60116949424585E+02
5.00000000000000E-01, 3.60116928000114E+02
5.05000000000000E-01, 3.60113293109917E+02
5.45000000000000E-01, 3.60077936779264E+02
5.50000000000000E-01, 3.60073428863681E+02
5.55000000000000E-01, 3.60073401703725E+02
5.95000000000000E-01, 3.60073215318126E+02
6.00000000000000E-01, 3.60073205285601E+02
