51
0 0.0000000000000000e+00
1 2.0000000000000000e-02
2 4.0000000000000001e-02
3 5.9999999999999998e-02
4 8.0000000000000002e-02
5 1.0000000000000001e-01
6 1.2000000000000000e-01
7 1.4000000000000001e-01
8 1.6000000000000000e-01
9 1.7999999999999999e-01
10 2.0000000000000001e-01
11 2.2000000000000000e-01
12 2.3999999999999999e-01
13 2.6000000000000001e-01
14 2.8000000000000003e-01
15 2.9999999999999999e-01
16 3.2000000000000001e-01
17 3.4000000000000002e-01
18 3.5999999999999999e-01
19 3.8000000000000000e-01
20 4.0000000000000002e-01
21 4.1999999999999998e-01
22 4.4000000000000000e-01
23 4.6000000000000002e-01
24 4.7999999999999998e-01
25 5.0000000000000000e-01
26 5.2000000000000002e-01
27 5.4000000000000004e-01
28 5.6000000000000005e-01
29 5.7999999999999996e-01
30 5.9999999999999998e-01
31 6.2000000000000000e-01
32 6.4000000000000001e-01
33 6.6000000000000003e-01
34 6.8000000000000005e-01
35 6.9999999999999996e-01
36 7.1999999999999997e-01
37 7.3999999999999999e-01
38 7.6000000000000001e-01
39 7.8000000000000003e-01
40 8.0000000000000004e-01
41 8.1999999999999995e-01
42 8.3999999999999997e-01
43 8.5999999999999999e-01
44 8.8000000000000000e-01
45 9.0000000000000002e-01
46 9.2000000000000004e-01
47 9.3999999999999995e-01
48 9.5999999999999996e-01
49 9.7999999999999998e-01
50 1.0000000000000000e+00
