

Iteration = -45153968
  0  0.00000  0.00000 
  1  0.01000  0.01000  0.01000
  2  0.02000  0.02000  0.01000
  3  0.03000  0.03000  0.01000
  4  0.04000  0.04000  0.01000
  5  0.05000  0.05000  0.01000
  6  0.06000  0.06000  0.01000
  7  0.07000  0.07000  0.01000
  8  0.08000  0.08000  0.01000
  9  0.09000  0.09000  0.01000
 10  0.10000  0.10000  0.01000
 11  0.11000  0.11000  0.01000
 12  0.12000  0.12000  0.01000
 13  0.13000  0.13000  0.01000
 14  0.14000  0.14000  0.01000
 15  0.15000  0.15000  0.01000
 16  0.16000  0.16000  0.01000
 17  0.17000  0.17000  0.01000
 18  0.18000  0.18000  0.01000
 19  0.19000  0.19000  0.01000
 20  0.20000  0.20000  0.01000
 21  0.21000  0.21000  0.01000
 22  0.22000  0.22000  0.01000
 23  0.23000  0.23000  0.01000
 24  0.24000  0.24000  0.01000
 25  0.25000  0.25000  0.01000
 26  0.26000  0.26000  0.01000
 27  0.27000  0.27000  0.01000
 28  0.28000  0.28000  0.01000
 29  0.29000  0.29000  0.01000
 30  0.30000  0.30000  0.01000
 31  0.31000  0.31000  0.01000
 32  0.32000  0.32000  0.01000
 33  0.33000  0.33000  0.01000
 34  0.34000  0.34000  0.01000
 35  0.35000  0.35000  0.01000
 36  0.36000  0.36000  0.01000
 37  0.37000  0.37000  0.01000
 38  0.38000  0.38000  0.01000
 39  0.39000  0.39000  0.01000
 40  0.40000  0.40000  0.01000
 41  0.41000  0.41000  0.01000
 42  0.42000  0.42000  0.01000
 43  0.43000  0.43000  0.01000
 44  0.44000  0.44000  0.01000
 45  0.45000  0.45000  0.01000
 46  0.46000  0.46000  0.01000
 47  0.47000  0.47000  0.01000
 48  0.48000  0.48000  0.01000
 49  0.49000  0.49000  0.01000
 50  0.50000  0.50000  0.01000
 51  0.51000  0.51000  0.01000
 52  0.52000  0.52000  0.01000
 53  0.53000  0.53000  0.01000
 54  0.54000  0.54000  0.01000
 55  0.55000  0.55000  0.01000
 56  0.56000  0.56000  0.01000
 57  0.57000  0.57000  0.01000
 58  0.58000  0.58000  0.01000
 59  0.59000  0.59000  0.01000
 60  0.60000  0.60000  0.01000
 61  0.61000  0.61000  0.01000
 62  0.62000  0.62000  0.01000
 63  0.63000  0.63000  0.01000
 64  0.64000  0.64000  0.01000
 65  0.65000  0.65000  0.01000
 66  0.66000  0.66000  0.01000
 67  0.67000  0.67000  0.01000
 68  0.68000  0.68000  0.01000
 69  0.69000  0.69000  0.01000
 70  0.70000  0.70000  0.01000
 71  0.71000  0.71000  0.01000
 72  0.72000  0.72000  0.01000
 73  0.73000  0.73000  0.01000
 74  0.74000  0.74000  0.01000
 75  0.75000  0.75000  0.01000
 76  0.76000  0.76000  0.01000
 77  0.77000  0.77000  0.01000
 78  0.78000  0.78000  0.01000
 79  0.79000  0.79000  0.01000
 80  0.80000  0.80000  0.01000
 81  0.81000  0.81000  0.01000
 82  0.82000  0.82000  0.01000
 83  0.83000  0.83000  0.01000
 84  0.84000  0.84000  0.01000
 85  0.85000  0.85000  0.01000
 86  0.86000  0.86000  0.01000
 87  0.87000  0.87000  0.01000
 88  0.88000  0.88000  0.01000
 89  0.89000  0.89000  0.01000
 90  0.90000  0.90000  0.01000
 91  0.91000  0.91000  0.01000
 92  0.92000  0.92000  0.01000
 93  0.93000  0.93000  0.01000
 94  0.94000  0.94000  0.01000
 95  0.95000  0.95000  0.01000
 96  0.96000  0.96000  0.01000
 97  0.97000  0.97000  0.01000
 98  0.98000  0.98000  0.01000
 99  0.99000  0.99000  0.01000
100  1.00000  1.00000  0.01000
