# Convergence History Data
# Solver: pbicgstab
# Smoother: gs
# Generated: 2025-09-05 10:39:26
Iteration,Residual
1,1.18960680068334E-01
2,1.13321189026251E-01
3,9.09348998911778E-02
4,8.16772045271052E-02
5,7.34292749576288E-02
6,6.88725561093869E-02
7,6.43029236324319E-02
8,6.12477356167506E-02
9,6.11072381094911E-02
10,6.69345019207107E-02
11,6.46961152727802E-02
12,6.17913768266358E-02
13,4.63014428854658E-01
14,3.24514736797705E-01
15,5.61747412772516E-02
16,5.57276705240342E-02
17,3.30281852755335E-01
18,5.96079882095361E-02
19,5.90567523914757E-02
20,5.94266705555263E-02
21,6.28695075360766E-02
22,6.15522651722702E-02
23,6.39091311293588E-02
24,6.61251524825186E-02
25,6.88663429272967E-02
26,7.43111299140121E-02
27,7.24985892632226E-02
28,7.83398919564651E-02
29,7.95798403224131E-02
30,7.93315174344332E-02
31,7.82127323158029E-02
32,7.12206810445712E-02
33,7.48787896898469E-02
34,7.37355140922380E-02
35,7.74908780811107E-02
36,7.65875079355598E-02
37,7.61209597377282E-02
38,8.69828305308468E-02
39,9.51915774204873E-02
40,7.70771298464280E-02
41,7.44207131247342E-02
42,7.32171820991834E-02
43,7.28937642872836E-02
44,8.67448217403544E-02
45,7.21567450784349E-02
46,4.35478621971186E-01
47,8.50951307861172E-02
48,8.56968837120010E-02
49,8.39643026528865E-02
50,7.72700858170817E-02
51,9.54412359388896E-02
52,9.42099739772916E-02
53,9.16396622957808E-02
54,9.70831537023258E-02
55,9.74944928274854E-02
56,9.78736441292499E-02
57,1.03497969636524E-01
58,9.93146935187944E-02
59,1.01466798073992E-01
60,1.01006604404058E-01
61,1.00452880346356E-01
62,1.00171474763193E-01
63,1.00086616560433E-01
64,1.00054117773396E-01
65,1.00020824324122E-01
66,9.97761548435744E-02
67,9.91767133114414E-02
68,9.89021994023483E-02
69,9.03805011852578E-02
70,8.56569151150525E-02
71,8.54452699594588E-02
72,8.27277405825782E-02
73,8.25657629720999E-02
74,8.24051500996715E-02
75,8.21211913217156E-02
76,7.94124050594550E-02
77,7.98690793100412E-02
78,7.97539150272012E-02
79,7.60533889180974E-02
80,7.58499229922862E-02
81,7.14012923933885E-02
82,6.90626384141985E-02
83,6.91921012284833E-02
84,9.95197673211609E-02
85,6.76741751207957E-02
86,6.73822004618957E-02
87,6.68247493651895E-02
88,6.71859266879685E-02
89,6.74179029004329E-02
90,6.70683382940658E-02
91,6.48998811521358E-02
92,6.52847434367937E-02
93,6.35251936733371E-02
94,7.28985547556832E-02
95,6.35762679707718E-02
96,6.38269199522409E-02
97,6.34856796253807E-02
98,7.27865620906732E-02
99,6.33648341681036E-02
100,6.31580267662939E-02
101,6.31271093433107E-02
102,6.30048182864922E-02
103,6.27463897590000E-02
104,6.26945239541032E-02
105,6.26601682801843E-02
106,6.35384458560629E-02
107,6.20172654985936E-02
108,6.18061018249144E-02
109,6.16197419228266E-02
110,6.16449726503741E-02
111,6.08244762879492E-02
112,6.55803033214680E-02
113,5.97866075338779E-02
114,5.87503877828264E-02
115,5.87378394379514E-02
116,5.72431168378437E-02
117,5.72465416458622E-02
118,5.68579826132947E-02
119,5.66681183884464E-02
120,5.70259041736944E-02
121,5.68300826617592E-02
122,5.60717984221415E-02
123,5.78025086168553E-02
124,5.07514745382357E-02
125,5.28581201989833E-02
126,5.27334526130582E-02
127,5.27503883789558E-02
128,5.45557574750279E-02
129,5.08489596649647E-02
130,5.03854168188976E-02
131,4.92872869446411E-02
132,4.98308588391156E-02
133,4.79350854640101E-02
134,4.55966123356439E-02
135,4.55790336623223E-02
136,4.87324605538132E-02
137,4.58121335786321E-02
138,4.06374889937782E-02
139,3.93608094943367E-02
140,3.50129124536969E-02
141,4.81126610956581E-02
142,3.66881556652347E-02
143,4.59158462406128E-02
144,3.12262081281166E-02
145,3.11997897664066E-02
146,3.34398880245849E-02
147,3.35135427705303E-02
148,3.31420071023700E-02
149,3.31911629645118E-02
150,3.33762676224885E-02
151,3.07265438530998E-02
152,2.26513930594595E-02
153,3.19925629618891E-02
154,3.05176687911288E-02
155,3.05539215875629E-02
156,3.04919153481988E-02
157,2.98343973216641E-02
158,3.02134762511654E-02
159,2.68731105046788E-02
160,2.75137302443914E-02
161,2.76445671566163E-02
162,2.75306746252859E-02
163,3.02525458404306E-02
164,2.58452743498662E-02
165,3.77296979977073E-02
166,2.39274791377958E-02
167,2.31222817638643E-02
168,2.57173500424648E-02
169,1.79214215183007E-02
170,1.87521892953333E-02
171,1.79492209567184E-02
172,1.77735443217562E-02
173,1.74393153875641E-02
174,1.71283285126372E-02
175,2.01566738318731E-02
176,1.09689164964769E-02
177,1.13370117911026E-01
178,1.89047112577781E-03
179,1.86995342218734E-03
180,1.16328907568255E-02
181,9.36402593402666E-03
182,9.35733996535971E-03
183,9.35474174058215E-03
184,9.28263347972521E-03
185,9.97986304473040E-03
186,9.82059334476580E-03
187,8.62583626325591E-03
188,1.38094900139221E-02
189,5.23249079082724E-03
190,3.99644821953973E-03
191,3.73192260257779E-03
192,4.52084304497084E-03
193,4.37796940331872E-04
194,2.67564896014710E-03
195,2.12189397991389E-03
196,1.53483736557322E-03
197,1.56941873312698E-03
198,4.82297698489250E-04
199,7.03698387724005E-04
200,8.58839541874387E-04
201,7.05005038747563E-04
202,8.64347808087333E-04
203,3.77084455463704E-04
204,3.74906548301105E-04
205,4.07379494086784E-04
206,5.94702523363342E-04
207,3.54353793817103E-04
208,3.11394323621340E-04
209,2.17436568481322E-04
210,2.27285628919318E-04
211,1.28179415104677E-04
212,1.29537040257942E-04
213,1.22184174955697E-04
214,2.17998725321234E-04
215,1.60428815907037E-04
216,1.54612420667201E-04
217,1.51845907675914E-04
218,1.60755868492565E-04
