# Convergence History Data
# Solver: sor
# Generated: 2025-09-05 14:16:09
Iteration,Residual
1,1.38580124869074E+00
2,6.61147736802356E-01
3,4.09412762480680E-01
4,2.97947942758558E-01
5,2.37368424963199E-01
6,1.99234392562290E-01
7,1.72783034234183E-01
8,1.53205735784582E-01
9,1.38042736332203E-01
10,1.25899756911563E-01
11,1.15923187726427E-01
12,1.07558785623649E-01
13,1.00429737653755E-01
14,9.42702223952808E-02
15,8.88869495092318E-02
16,8.41357667024674E-02
17,7.99068344454670E-02
18,7.61148986577114E-02
19,7.26927155629931E-02
20,6.95864910010362E-02
21,6.67526446932527E-02
22,6.41554683799483E-02
23,6.17654008255950E-02
24,5.95577372916561E-02
25,5.75116506855847E-02
26,5.56094400340576E-02
27,5.38359472431535E-02
28,5.21781001057358E-02
29,5.06245511385731E-02
30,4.91653899163430E-02
31,4.77919122861944E-02
32,4.64964339518548E-02
33,4.52721389079029E-02
34,4.41129554147235E-02
35,4.30134538574455E-02
36,4.19687620820724E-02
37,4.09744947565267E-02
38,4.00266940393056E-02
39,3.91217794084121E-02
40,3.82565049477325E-02
41,3.74279227363149E-02
42,3.66333512599047E-02
43,3.58703479800753E-02
44,3.51366853670198E-02
45,3.44303298372142E-02
46,3.37494231443259E-02
47,3.30922658567977E-02
48,3.24573026231507E-02
49,3.18431089798522E-02
50,3.12483794994980E-02
51,3.06719171113364E-02
52,3.01126234536014E-02
53,2.95694901392050E-02
54,2.90415908341346E-02
55,2.85280740623477E-02
56,2.80281566627357E-02
57,2.75411178334036E-02
58,2.70662937065151E-02
59,2.66030724036366E-02
60,2.61508895271225E-02
61,2.57092240478665E-02
62,2.52775945538251E-02
63,2.48555558272598E-02
64,2.44426957217282E-02
65,2.40386323125597E-02
66,2.36430112969649E-02
67,2.32555036220541E-02
68,2.28758033209736E-02
69,2.25036255390859E-02
70,2.21387047336964E-02
71,2.17807930322381E-02
72,2.14296587351281E-02
73,2.10850849506825E-02
74,2.07468683505573E-02
75,2.04148180351669E-02
76,2.00887544994340E-02
77,1.97685086900508E-02
78,1.94539211461916E-02
79,1.91448412163052E-02
80,1.88411263442574E-02
81,1.85426414186746E-02
82,1.82492581798708E-02
83,1.79608546792357E-02
84,1.76773147864017E-02
85,1.73985277399252E-02
86,1.71243877375881E-02
87,1.68547935627680E-02
88,1.65896482436445E-02
89,1.63288587422899E-02
90,1.60723356709577E-02
91,1.58199930331226E-02
92,1.55717479870407E-02
93,1.53275206298014E-02
94,1.50872338000233E-02
95,1.48508128975113E-02
96,1.46181857183457E-02
97,1.43892823040091E-02
98,1.41640348032872E-02
99,1.39423773457872E-02
100,1.37242459260302E-02
101,1.35095782971616E-02
102,1.32983138734139E-02
103,1.30903936405366E-02
104,1.28857600734723E-02
105,1.26843570606341E-02
106,1.24861298341876E-02
107,1.22910249058036E-02
108,1.20989900073906E-02
109,1.19099740363653E-02
110,1.17239270050557E-02
111,1.15407999938717E-02
112,1.13605451079095E-02
113,1.11831154366878E-02
